"","index"
"443",2150.48999
"444",2159.72998
"445",2160.77002
"446",2153.73999
"447",2163.659912
"448",2136.72998
"449",2139.179932
"450",2132.550049
"451",2132.97998
"452",2126.5
"453",2139.600098
"454",2144.290039
"455",2141.340088
"456",2141.159912
"457",2151.330078
"458",2143.159912
"459",2139.429932
"460",2133.040039
"461",2126.409912
"462",2126.149902
"463",2111.719971
"464",2097.939941
"465",2088.659912
"466",2085.179932
"467",2131.52002
"468",2139.560059
"469",2163.26001
"470",2167.47998
"471",2164.449951
"472",2164.199951
"473",2180.389893
"474",2176.939941
"475",2187.120117
"476",2181.899902
"477",2198.179932
"478",2202.939941
"479",2204.719971
"480",2213.350098
"481",2201.719971
"482",2204.659912
"483",2198.810059
"484",2191.080078
"485",2191.949951
"486",2204.709961
"487",2212.22998
"488",2241.350098
"489",2246.189941
"490",2259.530029
"491",2256.959961
"492",2271.719971
"493",2253.280029
"494",2262.030029
"495",2258.070068
"496",2262.530029
"497",2270.76001
"498",2265.179932
"499",2260.959961
"500",2263.790039
"501",2268.879883
"502",2249.919922
"503",2249.26001
"504",2238.830078
"505",2257.830078
"506",2270.75
"507",2269
"508",2276.97998
"509",2268.899902
"510",2268.899902
"511",2275.320068
"512",2270.439941
"513",2274.639893
"514",2267.889893
"515",2271.889893
"516",2263.689941
"517",2271.310059
"518",2265.199951
"519",2280.070068
"520",2298.370117
"521",2296.679932
"522",2294.689941
"523",2280.899902
"524",2278.870117
"525",2279.550049
"526",2280.850098
"527",2297.419922
"528",2292.560059
"529",2293.080078
"530",2294.669922
"531",2307.870117
"532",2316.100098
"533",2328.25
"534",2337.580078
"535",2349.25
"536",2347.219971
"537",2351.159912
"538",2365.379883
"539",2362.820068
"540",2363.810059
"541",2367.340088
"542",2369.75
"543",2363.639893
"544",2395.959961
"545",2381.919922
"546",2383.120117
"547",2375.310059
"548",2368.389893
"549",2362.97998
"550",2364.870117
"551",2372.600098
"552",2373.469971
"553",2365.449951
"554",2385.26001
"555",2381.379883
"556",2378.25
"557",2373.469971
"558",2344.02002
"559",2348.449951
"560",2345.959961
"561",2343.97998
"562",2341.590088
"563",2358.570068
"564",2361.129883
"565",2368.060059
"566",2362.719971
"567",2358.840088
"568",2360.159912
"569",2352.949951
"570",2357.48999
"571",2355.540039
"572",2357.159912
"573",2353.780029
"574",2344.929932
"575",2328.949951
"576",2349.01001
"577",2342.189941
"578",2338.169922
"579",2355.840088
"580",2348.689941
"581",2374.149902
"582",2388.610107
"583",2387.449951
"584",2388.77002
"585",2384.199951
"586",2388.330078
"587",2391.169922
"588",2388.129883
"589",2389.52002
"590",2399.290039
"591",2399.379883
"592",2396.919922
"593",2399.629883
"594",2394.439941
"595",2390.899902
"596",2402.320068
"597",2400.669922
"598",2357.030029
"599",2365.719971
"600",2381.72998
"601",2394.02002
"602",2398.419922
"603",2404.389893
"604",2415.070068
"605",2415.820068
"606",2412.909912
"607",2411.800049
"608",2430.060059
"609",2439.070068
"610",2436.100098
"611",2429.330078
"612",2433.139893
"613",2433.790039
"614",2431.77002
"615",2429.389893
"616",2440.350098
"617",2437.919922
"618",2432.459961
"619",2433.149902
"620",2453.459961
"621",2437.030029
"622",2435.610107
"623",2434.5
"624",2438.300049
"625",2439.070068
"626",2419.379883
"627",2440.689941
"628",2419.699951
"629",2423.409912
"630",2429.01001
"631",2432.540039
"632",2409.75
"633",2425.179932
"634",2427.429932
"635",2425.530029
"636",2443.25
"637",2447.830078
"638",2459.27002
"639",2459.139893
"640",2460.610107
"641",2473.830078
"642",2473.449951
"643",2472.540039
"644",2469.909912
"645",2477.129883
"646",2477.830078
"647",2475.419922
"648",2472.100098
"649",2470.300049
"650",2476.350098
"651",2477.570068
"652",2472.159912
"653",2476.830078
"654",2480.909912
"655",2474.919922
"656",2474.02002
"657",2438.209961
"658",2441.320068
"659",2465.840088
"660",2464.610107
